Density(kg/m3),Tensile_Strength(MPa),Hardness(HB),Thermal_Conductivity(W/mK),Elastic_Modulus(GPa),Class
2662.569909,402.532250,128.123758,299.859061,165.038913,Metal
2347.755331,222.522473,477.472771,33.577058,302.142115,Ceramic
939.186355,66.739022,27.702133,0.188176,2.954543,Polymer
2025.995039,406.793241,2215.162427,51.697327,162.191800,Ceramic
3346.378180,64.518005,651.462580,127.276661,341.490413,Ceramic
4918.927147,277.389484,2930.100986,57.401622,320.816253,Ceramic
4474.079009,433.619312,1901.115578,105.981204,118.329753,Ceramic
1002.571575,12.580238,12.406753,0.140401,1.404309,Polymer
4871.409163,507.199064,123.327461,121.451572,209.231280,Metal
6459.351537,288.252513,305.194379,82.092948,114.507425,Metal
4559.999039,287.335877,2179.997053,126.584936,410.399965,Ceramic
822.470171,34.968040,14.119303,0.184393,4.715690,Polymer
3258.711523,334.610559,1428.642943,137.267591,283.540741,Ceramic
972.639255,58.329973,13.874339,0.333834,4.491158,Polymer
3925.584935,1197.291367,228.334203,54.545577,58.009784,Metal
1239.212229,80.247540,21.685838,0.125411,1.920464,Polymer
4116.457380,486.117621,2638.027226,2.710672,388.288728,Ceramic
4147.881322,148.076091,2066.500676,17.621274,273.906100,Ceramic
8699.803529,1063.438234,142.186168,210.222723,80.370820,Metal
5482.074279,163.253500,2061.268687,91.736562,161.135707,Ceramic
4157.516120,393.740710,1778.919548,1.085213,229.662423,Ceramic
1450.369031,88.478578,41.751611,0.223006,0.308467,Polymer
5787.797781,61.113657,1663.575205,11.312665,404.240866,Ceramic
2513.565858,248.135541,1829.489343,40.493438,448.973216,Ceramic
3876.688335,693.225698,305.475874,96.437404,102.991770,Metal
4599.512231,230.288040,1745.697187,19.029625,189.878935,Ceramic
6324.006670,353.126206,127.076085,46.977373,157.287503,Metal
1433.794009,86.665363,4.472010,0.195202,3.351509,Polymer
892.618294,93.873853,28.981112,0.289068,3.927405,Polymer
2761.639657,66.526791,1520.733074,64.113215,286.809867,Ceramic
4693.458189,492.399301,655.886465,60.990571,235.721042,Ceramic
2994.625336,111.300276,1566.395224,63.860364,211.418058,Ceramic
1446.285919,47.097421,43.206106,0.320130,0.271930,Polymer
5344.110340,485.118203,2808.554156,127.455664,166.524444,Ceramic
3889.357445,541.144322,70.522390,164.009785,217.502503,Metal
1348.849421,48.225795,21.727367,0.482927,4.977205,Polymer
7169.653789,270.276508,153.847739,388.109559,148.460649,Metal
7361.841142,162.881800,254.462158,211.083146,194.962382,Metal
1472.545232,12.610589,10.105423,0.338014,3.382559,Polymer
883.920630,89.577295,13.064552,0.337808,3.104520,Polymer
6293.869880,675.060987,377.147190,97.618496,171.752606,Metal
1077.050093,68.810571,15.699857,0.226471,3.764285,Polymer
1120.799866,99.853172,49.808726,0.129304,1.081508,Polymer
1453.281565,88.682097,44.084242,0.247811,0.805579,Polymer
4814.159700,313.605328,2966.805965,98.442471,103.129243,Ceramic
3197.515009,338.426583,2841.218010,21.009376,146.171468,Ceramic
1187.256549,30.873080,30.636662,0.387045,1.033915,Polymer
4215.895361,637.385037,366.867772,341.519411,65.690740,Metal
4298.421456,103.900258,319.891728,262.103083,94.532395,Metal
4206.721685,225.289721,425.141219,12.211335,453.242557,Ceramic
4182.361157,420.605610,1914.524873,23.065974,150.978208,Ceramic
1429.287042,80.631619,43.174427,0.459570,1.066181,Polymer
871.955535,79.111043,44.322600,0.262551,3.110894,Polymer
1450.916711,87.137541,48.834096,0.424309,4.409453,Polymer
1315.595130,36.557619,46.609978,0.420894,4.323039,Polymer
3067.222838,397.939764,681.048629,130.952851,443.437301,Ceramic
1371.610624,48.728807,15.954352,0.418138,1.153426,Polymer
935.190852,36.184885,43.353294,0.486756,1.410042,Polymer
5097.909498,1179.264656,237.675506,376.910113,69.608098,Metal
2714.271265,482.016472,1090.212543,17.151980,273.825503,Ceramic
3254.709257,310.980250,1729.699955,58.394120,330.635217,Ceramic
1296.149699,5.160671,46.353183,0.315381,3.602761,Polymer
4682.514018,194.826306,581.931909,99.971415,232.080014,Ceramic
1393.610696,73.376655,15.715791,0.223714,2.053797,Polymer
4421.758816,240.016579,197.156217,377.338195,165.144051,Metal
4462.059664,164.455940,1824.636754,1.060485,214.765487,Ceramic
